size	value	prob

3	0	1

4	0	1

5	0	0.313444
5	1	1

6	0	0.297224
6	1	1

7	0	0.200569
7	1	1

8	0	0.175235
8	1	1

9	0	0.102828
9	1	0.837649
9	2	1

10	0	0.0833128
10	1	0.823345
10	2	1

11	0	0.0569268
11	1	0.78829
11	2	1

12	0	0.0449608
12	1	0.771697
12	2	1

13	0	0.0305898
13	1	0.728788
13	2	0.984059
13	3	1

14	0	0.0236721
14	1	0.710534
14	2	0.982182
14	3	1

15	0	0.0164127
15	1	0.679399
15	2	0.977478
15	3	1

16	0	0.0125394
16	1	0.661004
16	2	0.975355
16	3	1

17	0	0.00873028
17	1	0.632207
17	2	0.969916
17	3	0.99924
17	4	1

18	0	0.00661499
18	1	0.614151
18	2	0.967413
18	3	0.999118
18	4	1

19	0	0.00463551
19	1	0.588027
19	2	0.96253
19	3	0.998786
19	4	1

20	0	0.00347601
20	1	0.570753
20	2	0.959862
20	3	0.998647
20	4	1

21	0	0.0024399
21	1	0.546878
21	2	0.954997
21	3	0.998249
21	4	0.999978
21	5	1

22	0	0.00182036
22	1	0.530198
22	2	0.952147
22	3	0.998064
22	4	0.999974
22	5	1

23	0	0.00128812
23	1	0.508141
23	2	0.947347
23	3	0.997651
23	4	0.99996
23	5	1

24	0	0.000958
24	1	0.492377
24	2	0.9444
24	3	0.997451
24	4	0.999955
24	5	1

25	0	0.00067872
25	1	0.472077
25	2	0.939739
25	3	0.997032
25	4	0.999936
25	5	1

26	0	0.00050141
26	1	0.457264
26	2	0.936745
26	3	0.996806
26	4	0.999928
26	5	1

27	0	0.00035549
27	1	0.4387
27	2	0.932107
27	3	0.996378
27	4	0.999908
27	5	1

28	0	0.00026167
28	1	0.424607
28	2	0.929016
28	3	0.996131
28	4	0.999898
28	5	1

29	0	0.00018409
29	1	0.407385
29	2	0.924468
29	3	0.995677
29	4	0.999874
29	5	0.999998
29	6	1

30	0	0.00013701
30	1	0.394255
30	2	0.921324
30	3	0.995418
30	4	0.999862
30	5	1

31	0	9.764e-05
31	1	0.37835
31	2	0.91683
31	3	0.994979
31	4	0.999835
31	5	0.999998
31	6	1

32	0	7.105e-05
32	1	0.366016
32	2	0.913583
32	3	0.994702
32	4	0.999823
32	5	0.999997
32	6	1

33	0	5.052e-05
33	1	0.351204
33	2	0.909181
33	3	0.994257
33	4	0.999794
33	5	0.999996
33	6	1

34	0	3.739e-05
34	1	0.339834
34	2	0.906034
34	3	0.99398
34	4	0.999783
34	5	0.999996
34	6	1

35	0	2.664e-05
35	1	0.326311
35	2	0.901588
35	3	0.993508
35	4	0.99975
35	5	0.999995
35	6	1

36	0	1.919e-05
36	1	0.315423
36	2	0.898353
36	3	0.993204
36	4	0.999735
36	5	0.999995
36	6	1

37	0	1.388e-05
37	1	0.302908
37	2	0.894069
37	3	0.992751
37	4	0.999707
37	5	0.999993
37	6	1

38	0	9.9e-06
38	1	0.292723
38	2	0.890773
38	3	0.992427
38	4	0.999687
38	5	0.999992
38	6	1

39	0	7.22e-06
39	1	0.281276
39	2	0.886566
39	3	0.991997
39	4	0.999658
39	5	0.999992
39	6	1

