n	value	freq	max_freq	sample


3	0	33331103	33331103	33331103

4	0	53844470	53844470	53844470

5	0	29578261	64787092	94365353
5	1	64787092	64787092	94365353

6	0	27981741	66161780	94143521
6	1	66161780	66161780	94143521

7	0	17787134	70896433	88683567
7	1	70896433	70896433	88683567

8	0	15367495	72328956	87696451
8	1	72328956	72328956	87696451

9	0	10237542	73158963	99560246
9	1	73158963	73158963	99560246
9	2	16163741	73158963	99560246

10	0	8287533	73614554	99474863
10	1	73614554	73614554	99474863
10	2	17572776	73614554	99474863

11	0	5637373	72425753	99028496
11	1	72425753	72425753	99028496
11	2	20965370	72425753	99028496

12	0	4446413	71870734	98895283
12	1	71870734	71870734	98895283
12	2	22578136	71870734	98895283

13	0	3058606	69811225	99987658
13	1	69811225	69811225	99987658
13	2	25523925	69811225	99987658
13	3	1593902	69811225	99987658

14	0	2366833	68675166	99984004
14	1	68675166	68675166	99984004
14	2	27160535	68675166	99984004
14	3	1781470	68675166	99984004

15	0	1640647	66273571	99962247
15	1	66273571	66273571	99962247
15	2	29796714	66273571	99962247
15	3	2251315	66273571	99962247

16	0	1253370	64816774	99954171
16	1	64816774	64816774	99954171
16	2	31420638	64816774	99954171
16	3	2463389	64816774	99954171

17	0	873026	62347456	99999725
17	1	62347456	62347456	99999725
17	2	33770861	62347456	99999725
17	3	2932348	62347456	99999725
17	4	76034	62347456	99999725

18	0	661496	60753352	99999612
18	1	60753352	60753352	99999612
18	2	35326030	60753352	99999612
18	3	3170566	60753352	99999612
18	4	88168	60753352	99999612

19	0	463547	58338617	99999107
19	1	58338617	58338617	99999107
19	2	37449947	58338617	99999107
19	3	3625619	58338617	99999107
19	4	121377	58338617	99999107

20	0	347597	56726991	99998750
20	1	56726991	56726991	99998750
20	2	38910364	56726991	99998750
20	3	3878470	56726991	99998750
20	4	135328	56726991	99998750

21	0	243990	54443804	99999997
21	1	54443804	54443804	99999997
21	2	40811928	54443804	99999997
21	3	4325219	54443804	99999997
21	4	172811	54443804	99999997
21	5	2245	54443804	99999997

22	0	182036	52837786	99999991
22	1	52837786	52837786	99999991
22	2	42194893	52837786	99999991
22	3	4591680	52837786	99999991
22	4	190983	52837786	99999991
22	5	2613	52837786	99999991

23	0	128812	50685227	99999976
23	1	50685227	50685227	99999976
23	2	43920624	50685227	99999976
23	3	5030421	50685227	99999976
23	4	230931	50685227	99999976
23	5	3961	50685227	99999976

24	0	95800	49141905	99999983
24	1	49141905	49141905	99999983
24	2	45202241	49141905	99999983
24	3	5305122	49141905	99999983
24	4	250422	49141905	99999983
24	5	4493	49141905	99999983

25	0	67872	47139785	99999944
25	1	47139785	47139785	99999944
25	2	46766177	47139785	99999944
25	3	5729343	47139785	99999944
25	4	290371	47139785	99999944
25	5	6396	47139785	99999944

26	0	50141	47948067	99999942
26	1	45676223	47948067	99999942
26	2	47948067	47948067	99999942
26	3	6006113	47948067	99999942
26	4	312221	47948067	99999942
26	5	7177	47948067	99999942

27	0	35549	49340634	99999894
27	1	43834373	49340634	99999894
27	2	49340634	49340634	99999894
27	3	6427125	49340634	99999894
27	4	353029	49340634	99999894
