n	avg	p25	p75
1	-nan	0.5	0.5
2	-nan	0.5	0.5
3	0	0	0
4	0.363649	0	1
5	0.666641	0	1
6	0.638699	0	1
7	1.09903	1	2
8	1.28141	1	2
9	1.46082	1	2
10	1.60177	1	2
11	1.80727	1	2
12	1.97377	1	3
13	2.15409	2	3
14	2.32034	2	3
15	2.50148	2	3
16	2.6712	2	3
17	2.85033	2	4
18	3.02083	2	4
19	3.20018	2	4
20	3.37142	3	4
21	3.55037	3	4
22	3.72239	3	5
23	3.90081	3	5
24	4.0736	3	5
25	4.25186	3	5
26	4.42485	4	5
27	4.60302	4	5
28	4.77642	4	6
29	4.95405	4	6
30	5.12781	4	6
31	5.30559	4	6
32	5.47949	4	6
33	5.65751	5	7
34	5.83128	5	7
35	6.00912	5	7
36	6.18282	5	7
37	6.36057	5	7
38	6.53489	5	8
39	6.7122	6	8
