size	value	prob

3	0	1

4	0	0.636351
4	1	1

5	0	0.333359
5	1	1

6	0	0.361301
6	1	1

7	0	0.181231
7	1	0.719743
7	2	1

8	0	0.153855
8	1	0.600525
8	2	0.964213
8	3	1

9	0	0.102668
9	1	0.522273
9	2	0.914241
9	3	1

10	0	0.0837814
10	1	0.442712
10	2	0.871732
10	3	1

11	0	0.0564072
11	1	0.363252
11	2	0.795847
11	3	0.977225
11	4	1

12	0	0.0444656
12	1	0.298763
12	2	0.729306
12	3	0.955698
12	4	0.997996
12	5	1

13	0	0.0305892
13	1	0.241423
13	2	0.652355
13	3	0.927041
13	4	0.994506
13	5	1

14	0	0.0236785
14	1	0.19613
14	2	0.581611
14	3	0.889767
14	4	0.988475
14	5	1

15	0	0.0164067
15	1	0.155144
15	2	0.507306
15	3	0.843635
15	4	0.97725
15	5	0.998778
15	6	1

16	0	0.0125337
16	1	0.124175
16	2	0.441595
16	3	0.792108
16	4	0.961511
16	5	0.996946
16	6	0.999928
16	7	1

17	0	0.00873028
17	1	0.0970034
17	2	0.376832
17	3	0.734137
17	4	0.939613
17	5	0.993607
17	6	0.999745
17	7	1

18	0	0.00661505
18	1	0.0768389
18	2	0.321835
18	3	0.674646
18	4	0.91193
18	5	0.987988
18	6	0.999313
18	7	1

19	0	0.00463547
19	1	0.0592845
19	2	0.269531
19	3	0.611607
19	4	0.877228
19	5	0.979247
19	6	0.998338
19	7	0.999949
19	8	1

20	0	0.00347597
20	1	0.0465429
20	2	0.226402
20	3	0.551035
20	4	0.83777
20	5	0.966935
20	6	0.996579
20	7	0.999843
20	8	0.999998
20	9	1

21	0	0.0024399
21	1	0.0356185
21	2	0.186798
21	3	0.489601
21	4	0.792007
21	5	0.950067
21	6	0.99352
21	7	0.999592
21	8	0.99999
21	9	1

22	0	0.00182036
22	1	0.027773
22	2	0.154768
22	3	0.433115
22	4	0.74352
22	5	0.928788
22	6	0.988779
22	7	0.999082
22	8	0.999966
22	9	1

23	0	0.00128812
23	1	0.021128
23	2	0.126079
23	3	0.378167
23	4	0.690661
23	5	0.902139
23	6	0.9817
23	7	0.998122
23	8	0.999905
23	9	0.999998
23	10	1

24	0	0.000958
24	1	0.016358
24	2	0.103209
24	3	0.329222
24	4	0.637379
24	5	0.871127
24	6	0.971894
24	7	0.996486
24	8	0.999771
24	9	0.999993
24	10	1

25	0	0.00067872
25	1	0.0123538
25	2	0.0831072
25	3	0.282923
25	4	0.582098
25	5	0.834941
25	6	0.958724
25	7	0.993847
25	8	0.999491
25	9	0.999979
25	10	1

26	0	0.00050141
26	1	0.0095174
26	2	0.0674325
26	3	0.242922
26	4	0.528707
26	5	0.795262
26	6	0.942038
26	7	0.989857
26	8	0.998974
26	9	0.999943
26	10	0.999999
26	11	1

27	0	0.00035549
27	1	0.00716306
27	2	0.053822
27	3	0.20592
27	4	0.475199
27	5	0.751384
27	6	0.921106
27	7	0.984091
27	8	0.998071
27	9	0.999869
27	10	0.999995
