n	value	freq	max_freq	sample


3	0	33331103	33331103	33331103

4	0	53844470	53844470	84614402
4	1	30769932	53844470	84614402

5	0	29578261	59149700	88727961
5	1	59149700	59149700	88727961

6	0	27981741	49465474	77447215
6	1	49465474	49465474	77447215

7	0	17787134	52852930	98146235
7	1	52852930	52852930	98146235
7	2	27506171	52852930	98146235

8	0	15367495	44614855	99883180
8	1	44614855	44614855	99883180
8	2	36326308	44614855	99883180
8	3	3574522	44614855	99883180

9	0	10237542	41840752	99714717
9	1	41840752	41840752	99714717
9	2	39084977	41840752	99714717
9	3	8551446	41840752	99714717

10	0	8287533	42437983	98918488
10	1	35504915	42437983	98918488
10	2	42437983	42437983	98918488
10	3	12688057	42437983	98918488

