n	avg	p25	p75
1	-nan	0.5	0.5
2	-nan	0.5	0.5
3	0	0	0
4	0.727298	0	2
5	1.52374	0	2
6	2.03032	0	3
7	2.52803	2	4
8	2.85423	2	4
9	3.33194	2	4
10	3.6887	2	5
11	4.14805	2	6
12	4.52387	3	6
13	4.97712	4	6
14	5.36399	4	7
15	5.81198	4	7
16	6.20728	4	8
17	6.6524	5	8
18	7.05222	5	9
19	7.49614	6	9
20	7.89914	6	10
21	8.3409	6	10
22	8.74732	7	11
23	9.18744	7	11
24	9.5966	8	12
25	10.0354	8	12
26	10.4459	8	12
27	10.8838	9	13
28	11.2957	9	13
29	11.7321	10	14
30	12.1457	10	14
31	12.5817	10	15
32	12.9961	11	15
33	13.4326	11	16
34	13.8468	12	16
35	14.2823	12	17
36	14.6973	12	17
37	15.1321	13	18
38	15.5489	13	18
39	15.9823	14	18
