size	value	prob

3	0	1
3	1	1

4	0	0.636351
4	1	0.636351
4	2	1
4	3	1

5	0	0.333359
5	1	0.333359
5	2	0.809543
5	3	1

6	0	0.281038
6	1	0.281038
6	2	0.690712
6	3	0.77785
6	4	0.939039
6	5	1

7	0	0.178492
7	1	0.178492
7	2	0.547005
7	3	0.687899
7	4	0.90452
7	5	0.97556
7	6	1

8	0	0.153982
8	1	0.153982
8	2	0.489158
8	3	0.589312
8	4	0.828891
8	5	0.938709
8	6	0.991733
8	7	1

9	0	0.10242
9	1	0.10242
9	2	0.380451
9	3	0.489032
9	4	0.755149
9	5	0.879407
9	6	0.965833
9	7	0.993349
9	8	1

10	0	0.0828957
10	1	0.0828957
10	2	0.328928
10	3	0.416141
10	4	0.677517
10	5	0.812088
10	6	0.93419
10	7	0.980108
10	8	0.996537
10	9	1

