n	value	freq	max_freq	sample


3	0	33331103	33331103	33331103
3	1	0	33331103	33331103

4	0	53844470	53844470	84614402
4	1	0	53844470	84614402
4	2	30769932	53844470	84614402
4	3	0	53844470	84614402

5	0	29578261	42250880	88727961
5	1	0	42250880	88727961
5	2	42250880	42250880	88727961
5	3	16898820	42250880	88727961

6	0	27981741	40789520	99565734
6	1	0	40789520	99565734
6	2	40789520	40789520	99565734
6	3	8675954	40789520	99565734
6	4	16048867	40789520	99565734
6	5	6069652	40789520	99565734

7	0	17787134	36723270	99652434
7	1	0	36723270	99652434
7	2	36723270	36723270	99652434
7	3	14040431	36723270	99652434
7	4	21586808	36723270	99652434
7	5	7079240	36723270	99652434
7	6	2435551	36723270	99652434

8	0	15367495	33450732	99800515
8	1	0	33450732	99800515
8	2	33450732	33450732	99800515
8	3	9995371	33450732	99800515
8	4	23910117	33450732	99800515
8	5	10959895	33450732	99800515
8	6	5291809	33450732	99800515
8	7	825096	33450732	99800515

9	0	10237542	27790898	99956158
9	1	0	27790898	99956158
9	2	27790898	27790898	99956158
9	3	10853280	27790898	99956158
9	4	26600058	27790898	99956158
9	5	12420373	27790898	99956158
9	6	8638794	27790898	99956158
9	7	2750424	27790898	99956158
9	8	664789	27790898	99956158

10	0	8287533	26131161	99975421
10	1	0	26131161	99975421
10	2	24597141	26131161	99975421
10	3	8719194	26131161	99975421
10	4	26131161	26131161	99975421
10	5	13453838	26131161	99975421
10	6	12207183	26131161	99975421
10	7	4590621	26131161	99975421
10	8	1642558	26131161	99975421
10	9	346192	26131161	99975421

