n	avg	p25	p75
1	-nan	0.5	0.5
2	-nan	0.5	0.5
3	-nan	0.5	0.5
4	-nan	0.5	0.5
5	-nan	0.5	0.5
6	-nan	0.5	0.5
7	-nan	0.5	0.5
8	-nan	0.5	0.5
9	-nan	0.5	0.5
10	-nan	0.5	0.5
11	0	0	0
12	0	0	0
13	0	0	0
14	0	0	0
15	0.000886391	0	0
16	0.00103037	0	0
17	0.0017212	0	0
18	0.00197374	0	0
19	0.00296807	0	0
20	0.00334695	0	0
21	0.0045795	0	0
22	0.00512986	0	0
23	0.00660092	0	0
24	0.00734009	0	0
25	0.00905984	0	0
26	0.00999233	0	0
27	0.0119765	0	0
28	0.0130794	0	0
29	0.0153188	0	0
30	0.0166149	0	0
31	0.0191197	0	0
32	0.0206504	0	0
33	0.0234085	0	0
34	0.0250863	0	0
35	0.0280721	0	0
36	0.0300107	0	0
37	0.0332198	0	0
38	0.0353811	0	0
39	0.0388786	0	0
