size	value	prob









11	0	1

12	0	1

13	0	1

14	0	1

15	0	0.999114
15	1	1

16	0	0.99897
16	1	1

17	0	0.998279
17	1	1

18	0	0.998033
18	1	0.999994
18	2	1

19	0	0.997051
19	1	0.999981
19	2	1

20	0	0.996674
20	1	0.999979
20	2	1

21	0	0.995464
21	1	0.999956
21	2	1

22	0	0.994923
22	1	0.999947
22	2	1

23	0	0.993498
23	1	0.999904
23	2	0.999997
23	3	1

24	0	0.992775
24	1	0.999888
24	2	0.999997
24	3	1

25	0	0.991122
25	1	0.999824
25	2	0.999994
25	3	1

26	0	0.990218
26	1	0.999796
26	2	0.999994
26	3	1

27	0	0.988333
27	1	0.999702
27	2	0.999989
27	3	1

28	0	0.987274
28	1	0.99966
28	2	0.999987
28	3	1

29	0	0.985174
29	1	0.999528
29	2	0.999979
29	3	1

30	0	0.983944
30	1	0.999465
30	2	0.999976
30	3	1

31	0	0.981624
31	1	0.999295
31	2	0.999962
31	3	0.999999
31	4	1

32	0	0.980188
32	1	0.999206
32	2	0.999957
32	3	0.999998
32	4	1

33	0	0.977664
33	1	0.998989
33	2	0.99994
33	3	0.999997
33	4	1

34	0	0.976115
34	1	0.998869
34	2	0.999932
34	3	0.999997
34	4	1

35	0	0.973414
35	1	0.998609
35	2	0.999909
35	3	0.999996
35	4	1

36	0	0.971653
36	1	0.998447
36	2	0.999896
36	3	0.999995
36	4	1

37	0	0.968797
37	1	0.998127
37	2	0.999864
37	3	0.999992
37	4	1
37	5	1

38	0	0.966847
38	1	0.997937
38	2	0.999844
38	3	0.999991
38	4	1
38	5	1

39	0	0.963778
39	1	0.997554
39	2	0.999803
39	3	0.999987
39	4	1
39	5	1

