n	value	freq	max_freq	sample










11	0	99988808	99988808	99988808

12	0	99988019	99988019	99988019

13	0	99964983	99964983	99964983

14	0	99960882	99960882	99960882

15	0	99911296	99911296	99999935
15	1	88639	99911296	99999935

16	0	99896894	99896894	99999931
16	1	103037	99896894	99999931

17	0	99827326	99827326	99999445
17	1	172119	99827326	99999445

18	0	99803249	99803249	99999996
18	1	196120	99803249	99999996
18	2	627	99803249	99999996

19	0	99705082	99705082	99999976
19	1	292981	99705082	99999976
19	2	1913	99705082	99999976

20	0	99667402	99667402	99999977
20	1	330455	99667402	99999977
20	2	2120	99667402	99999977

21	0	99546327	99546327	99999924
21	1	449244	99546327	99999924
21	2	4353	99546327	99999924

22	0	99492178	99492178	99999901
22	1	502461	99492178	99999901
22	2	5262	99492178	99999901

23	0	99349760	99349760	99999999
23	1	640644	99349760	99999999
23	2	9337	99349760	99999999
23	3	258	99349760	99999999

24	0	99277520	99277520	99999996
24	1	711241	99277520	99999996
24	2	10937	99277520	99999996
24	3	298	99277520	99999996

25	0	99112199	99112199	99999985
25	1	870166	99112199	99999985
25	2	17042	99112199	99999985
25	3	578	99112199	99999985

26	0	99021751	99021751	99999988
26	1	957867	99021751	99999988
26	2	19744	99021751	99999988
26	3	626	99021751	99999988

27	0	98833237	98833237	99999977
27	1	1136939	98833237	99999977
27	2	28692	98833237	99999977
27	3	1109	98833237	99999977

28	0	98727386	98727386	99999977
28	1	1238547	98727386	99999977
28	2	32737	98727386	99999977
28	3	1307	98727386	99999977

29	0	98517298	98517298	99999929
29	1	1435470	98517298	99999929
29	2	45074	98517298	99999929
29	3	2087	98517298	99999929

30	0	98394346	98394346	99999912
30	1	1552068	98394346	99999912
30	2	51073	98394346	99999912
30	3	2425	98394346	99999912

31	0	98162389	98162389	99999998
31	1	1767149	98162389	99999998
31	2	66690	98162389	99999998
31	3	3640	98162389	99999998
31	4	130	98162389	99999998

32	0	98018845	98018845	99999995
32	1	1901728	98018845	99999995
32	2	75110	98018845	99999995
32	3	4161	98018845	99999995
32	4	151	98018845	99999995

33	0	97766439	97766439	99999990
33	1	2132485	97766439	99999990
33	2	95092	97766439	99999990
33	3	5715	97766439	99999990
33	4	259	97766439	99999990

34	0	97611505	97611505	99999997
34	1	2275434	97611505	99999997
34	2	106269	97611505	99999997
34	3	6501	97611505	99999997
34	4	288	97611505	99999997

35	0	97341389	97341389	99999982
35	1	2519536	97341389	99999982
35	2	129936	97341389	99999982
35	3	8685	97341389	99999982
35	4	436	97341389	99999982

36	0	97165245	97165245	99999979
36	1	2679385	97165245	99999979
36	2	144904	97165245	99999979
36	3	9905	97165245	99999979
36	4	540	97165245	99999979

37	0	96879712	96879712	99999998
37	1	2933004	96879712	99999998
37	2	173665	96879712	99999998
37	3	12853	96879712	99999998
37	4	734	96879712	99999998
37	5	30	96879712	99999998

38	0	96684687	96684687	99999999
38	1	3109042	96684687	99999999
38	2	190628	96684687	99999999
38	3	14785	96684687	99999999
38	4	827	96684687	99999999
38	5	30	96684687	99999999

39	0	96377796	96377796	99999998
39	1	3377559	96377796	99999998
39	2	224934	96377796	99999998
39	3	18447	96377796	99999998
39	4	1214	96377796	99999998
39	5	48	96377796	99999998

