n	avg	p25	p75
1	-nan	0.5	0.5
2	-nan	0.5	0.5
3	-nan	0.5	0.5
4	-nan	0.5	0.5
5	-nan	0.5	0.5
6	-nan	0.5	0.5
7	-nan	0.5	0.5
8	-nan	0.5	0.5
9	-nan	0.5	0.5
10	-nan	0.5	0.5
11	0	0	0
12	0	0	0
13	0	0	0
14	0	0	0
15	0.00177278	0	0
16	0.00206076	0	0
17	0.0034428	0	0
18	0.00394091	0	0
19	0.00591633	0	0
20	0.00667144	0	0
21	0.00911351	0	0
22	0.0102035	0	0
23	0.013097	0	0
24	0.0145564	0	0
25	0.0179252	0	0
26	0.0197563	0	0
27	0.0236189	0	0
28	0.0257729	0	0
29	0.0301	0	0
30	0.0326148	0	0
31	0.0374246	0	0
32	0.0403745	0	0
33	0.0456333	0	0
34	0.0488373	0	0
35	0.0544942	0	0
36	0.0581637	0	0
37	0.0641896	0	0
38	0.0682629	0	0
39	0.0747791	0	0
