size	value	prob









11	0	1
11	1	1

12	0	1
12	1	1

13	0	1
13	1	1

14	0	1
14	1	1

15	0	0.999114
15	1	0.999114
15	2	1

16	0	0.99897
16	1	0.99897
16	2	1

17	0	0.998279
17	1	0.998279
17	2	1

18	0	0.998033
18	1	0.998033
18	2	0.999994
18	3	1

19	0	0.997051
19	1	0.997051
19	2	0.999982
19	3	1

20	0	0.996674
20	1	0.996674
20	2	0.99998
20	3	1

21	0	0.995464
21	1	0.995464
21	2	0.999958
21	3	1

22	0	0.994923
22	1	0.994923
22	2	0.999951
22	3	1

23	0	0.993498
23	1	0.993498
23	2	0.99991
23	3	0.999997
23	4	1

24	0	0.992775
24	1	0.992775
24	2	0.999896
24	3	0.999997
24	4	1

25	0	0.991122
25	1	0.991122
25	2	0.999836
25	3	0.999994
25	4	1

26	0	0.990218
26	1	0.990218
26	2	0.999814
26	3	0.999994
26	4	1

27	0	0.988333
27	1	0.988333
27	2	0.999726
27	3	0.999989
27	4	1

28	0	0.987274
28	1	0.987274
28	2	0.999691
28	3	0.999988
28	4	1

29	0	0.985174
29	1	0.985174
29	2	0.999572
29	3	0.999981
29	4	1

30	0	0.983944
30	1	0.983944
30	2	0.999519
30	3	0.999978
30	4	1

31	0	0.981624
31	1	0.981624
31	2	0.999364
31	3	0.999965
31	4	0.999999
31	5	1

32	0	0.980188
32	1	0.980188
32	2	0.999289
32	3	0.999961
32	4	0.999999
32	5	1

33	0	0.977664
33	1	0.977664
33	2	0.999095
33	3	0.999945
33	4	0.999998
33	5	1

34	0	0.976115
34	1	0.976115
34	2	0.998996
34	3	0.999939
34	4	0.999998
34	5	1

35	0	0.973414
35	1	0.973414
35	2	0.998764
35	3	0.999918
35	4	0.999996
35	5	1

36	0	0.971653
36	1	0.971653
36	2	0.998628
36	3	0.999907
36	4	0.999995
36	5	1

37	0	0.968797
37	1	0.968797
37	2	0.998345
37	3	0.999878
37	4	0.999993
37	5	1
37	6	1

38	0	0.966847
38	1	0.966847
38	2	0.998188
38	3	0.999862
38	4	0.999993
38	5	1
38	6	1

39	0	0.963778
39	1	0.963778
39	2	0.99785
39	3	0.999826
39	4	0.999989
39	5	1
39	6	1

