n	value	freq	max_freq	sample










11	0	99988808	99988808	99988808
11	1	0	99988808	99988808

12	0	99988019	99988019	99988019
12	1	0	99988019	99988019

13	0	99964983	99964983	99964983
13	1	0	99964983	99964983

14	0	99960882	99960882	99960882
14	1	0	99960882	99960882

15	0	99911296	99911296	99999935
15	1	0	99911296	99999935
15	2	88639	99911296	99999935

16	0	99896894	99896894	99999932
16	1	0	99896894	99999932
16	2	103038	99896894	99999932

17	0	99827326	99827326	99999465
17	1	0	99827326	99999465
17	2	172139	99827326	99999465

18	0	99803249	99803249	99999996
18	1	0	99803249	99999996
18	2	196150	99803249	99999996
18	3	597	99803249	99999996

19	0	99705082	99705082	99999976
19	1	0	99705082	99999976
19	2	293049	99705082	99999976
19	3	1845	99705082	99999976

20	0	99667402	99667402	99999978
20	1	0	99667402	99999978
20	2	330584	99667402	99999978
20	3	1992	99667402	99999978

21	0	99546327	99546327	99999926
21	1	0	99546327	99999926
21	2	449447	99546327	99999926
21	3	4152	99546327	99999926

22	0	99492178	99492178	99999903
22	1	0	99492178	99999903
22	2	502821	99492178	99999903
22	3	4904	99492178	99999903

23	0	99349760	99349760	99999999
23	1	0	99349760	99999999
23	2	641267	99349760	99999999
23	3	8720	99349760	99999999
23	4	252	99349760	99999999

24	0	99277520	99277520	99999996
24	1	0	99277520	99999996
24	2	712077	99277520	99999996
24	3	10107	99277520	99999996
24	4	292	99277520	99999996

25	0	99112199	99112199	99999986
25	1	0	99112199	99999986
25	2	871400	99112199	99999986
25	3	15828	99112199	99999986
25	4	559	99112199	99999986

26	0	99021751	99021751	99999988
26	1	0	99021751	99999988
26	2	959677	99021751	99999988
26	3	17964	99021751	99999988
26	4	596	99021751	99999988

27	0	98833237	98833237	99999978
27	1	0	98833237	99999978
27	2	1139383	98833237	99999978
27	3	26304	98833237	99999978
27	4	1054	98833237	99999978

28	0	98727386	98727386	99999980
28	1	0	98727386	99999980
28	2	1241725	98727386	99999980
28	3	29636	98727386	99999980
28	4	1233	98727386	99999980

29	0	98517298	98517298	99999936
29	1	0	98517298	99999936
29	2	1439860	98517298	99999936
29	3	40829	98517298	99999936
29	4	1949	98517298	99999936

30	0	98394346	98394346	99999917
30	1	0	98394346	99999917
30	2	1557453	98394346	99999917
30	3	45903	98394346	99999917
30	4	2215	98394346	99999917

31	0	98162389	98162389	99999998
31	1	0	98162389	99999998
31	2	1773989	98162389	99999998
31	3	60120	98162389	99999998
31	4	3381	98162389	99999998
31	5	119	98162389	99999998

32	0	98018845	98018845	99999995
32	1	0	98018845	99999995
32	2	1910076	98018845	99999995
32	3	67144	98018845	99999995
32	4	3789	98018845	99999995
32	5	141	98018845	99999995

33	0	97766439	97766439	99999991
33	1	0	97766439	99999991
33	2	2143007	97766439	99999991
33	3	85091	97766439	99999991
33	4	5226	97766439	99999991
33	5	228	97766439	99999991

34	0	97611505	97611505	99999999
34	1	0	97611505	99999999
34	2	2288103	97611505	99999999
34	3	94287	97611505	99999999
34	4	5857	97611505	99999999
34	5	247	97611505	99999999

35	0	97341389	97341389	99999985
35	1	0	97341389	99999985
35	2	2534995	97341389	99999985
35	3	115361	97341389	99999985
35	4	7851	97341389	99999985
35	5	389	97341389	99999985

36	0	97165245	97165245	99999983
36	1	0	97165245	99999983
36	2	2697574	97165245	99999983
36	3	127913	97165245	99999983
36	4	8777	97165245	99999983
36	5	474	97165245	99999983

37	0	96879712	96879712	99999998
37	1	0	96879712	99999998
37	2	2954746	96879712	99999998
37	3	153379	96879712	99999998
37	4	11496	96879712	99999998
37	5	639	96879712	99999998
37	6	26	96879712	99999998

38	0	96684687	96684687	99999999
38	1	0	96684687	99999999
38	2	3134146	96684687	99999999
38	3	167416	96684687	99999999
38	4	13028	96684687	99999999
38	5	695	96684687	99999999
38	6	27	96684687	99999999

39	0	96377796	96377796	99999998
39	1	0	96377796	99999998
39	2	3407210	96377796	99999998
39	3	197607	96377796	99999998
39	4	16296	96377796	99999998
39	5	1049	96377796	99999998
39	6	40	96377796	99999998

