n	avg	p25	p75
1	-nan	0.5	0.5
2	-nan	0.5	0.5
3	-nan	0.5	0.5
4	-nan	0.5	0.5
5	-nan	0.5	0.5
6	-nan	0.5	0.5
7	-nan	0.5	0.5
8	-nan	0.5	0.5
9	-nan	0.5	0.5
10	-nan	0.5	0.5
11	0	0	0
12	0	0	0
13	0	0	0
14	0	0	0
15	0.00177278	0	0
16	0.00206278	0	0
17	0.00345843	0	0
18	0.00394031	0	0
19	0.00591498	0	0
20	0.00667487	0	0
21	0.00912046	0	0
22	0.0102146	0	0
23	0.0131093	0	0
24	0.014573	0	0
25	0.0179509	0	0
26	0.0197936	0	0
27	0.02367	0	0
28	0.0258389	0	0
29	0.030194	0	0
30	0.0327305	0	0
31	0.037567	0	0
32	0.0405479	0	0
33	0.0458551	0	0
34	0.0491049	0	0
35	0.0548227	0	0
36	0.0585532	0	0
37	0.064655	0	0
38	0.0688045	0	0
39	0.0754207	0	0
