size	value	prob









11	0	1
11	1	1

12	0	1
12	1	1

13	0	1
13	1	1

14	0	1
14	1	1

15	0	0.999114
15	1	0.999114
15	2	1

16	0	0.998969
16	1	0.998969
16	2	0.999999
16	3	1

17	0	0.998273
17	1	0.998273
17	2	0.999995
17	3	1

18	0	0.998033
18	1	0.998033
18	2	0.999994
18	3	1

19	0	0.997052
19	1	0.997052
19	2	0.999982
19	3	1

20	0	0.996674
20	1	0.996674
20	2	0.999979
20	3	0.999998
20	4	1

21	0	0.995463
21	1	0.995463
21	2	0.999956
21	3	0.999997
21	4	1

22	0	0.994922
22	1	0.994922
22	2	0.999946
22	3	0.999995
22	4	1

23	0	0.993498
23	1	0.993498
23	2	0.999904
23	3	0.999991
23	4	1

24	0	0.992775
24	1	0.992775
24	2	0.999888
24	3	0.999989
24	4	1

25	0	0.991122
25	1	0.991122
25	2	0.999824
25	3	0.999982
25	4	1
25	5	1

26	0	0.990218
26	1	0.990218
26	2	0.999796
26	3	0.999976
26	4	1
26	5	1

27	0	0.988332
27	1	0.988332
27	2	0.999702
27	3	0.999964
27	4	0.999999
27	5	1

28	0	0.987274
28	1	0.987274
28	2	0.999659
28	3	0.999955
28	4	0.999999
28	5	1

29	0	0.985173
29	1	0.985173
29	2	0.999528
29	3	0.999935
29	4	0.999998
29	5	1
29	6	1

30	0	0.983944
30	1	0.983944
30	2	0.999464
30	3	0.999921
30	4	0.999997
30	5	1

31	0	0.981624
31	1	0.981624
31	2	0.999295
31	3	0.999894
31	4	0.999996
31	5	1
31	6	1

32	0	0.980189
32	1	0.980189
32	2	0.999206
32	3	0.999874
32	4	0.999995
32	5	1

33	0	0.977664
33	1	0.977664
33	2	0.998989
33	3	0.999835
33	4	0.999992
33	5	0.999999
33	6	1

34	0	0.976115
34	1	0.976115
34	2	0.998869
34	3	0.999806
34	4	0.99999
34	5	0.999999
34	6	1

35	0	0.973414
35	1	0.973414
35	2	0.998609
35	3	0.999754
35	4	0.999987
35	5	0.999999
35	6	1

36	0	0.971653
36	1	0.971653
36	2	0.998446
36	3	0.999714
36	4	0.999983
36	5	0.999999
36	6	1

37	0	0.968797
37	1	0.968797
37	2	0.998127
37	3	0.999647
37	4	0.999978
37	5	0.999998
37	6	1

38	0	0.966847
38	1	0.966847
38	2	0.997937
38	3	0.999593
38	4	0.999973
38	5	0.999998
38	6	1

39	0	0.963778
39	1	0.963778
39	2	0.997554
39	3	0.999508
39	4	0.999965
39	5	0.999997
39	6	1

