n	value	freq	max_freq	sample










11	0	99988808	99988808	99988808
11	1	0	99988808	99988808

12	0	99988019	99988019	99988019
12	1	0	99988019	99988019

13	0	99964983	99964983	99964983
13	1	0	99964983	99964983

14	0	99960882	99960882	99960882
14	1	0	99960882	99960882

15	0	99911296	99911296	99999935
15	1	0	99911296	99999935
15	2	88639	99911296	99999935

16	0	99896894	99896894	99999999
16	1	0	99896894	99999999
16	2	103037	99896894	99999999
16	3	68	99896894	99999999

17	0	99827326	99827326	99999980
17	1	0	99827326	99999980
17	2	172119	99827326	99999980
17	3	535	99827326	99999980

18	0	99803249	99803249	99999966
18	1	0	99803249	99999966
18	2	196120	99803249	99999966
18	3	597	99803249	99999966

19	0	99705082	99705082	99999908
19	1	0	99705082	99999908
19	2	292981	99705082	99999908
19	3	1845	99705082	99999908

20	0	99667402	99667402	99999999
20	1	0	99667402	99999999
20	2	330455	99667402	99999999
20	3	1991	99667402	99999999
20	4	151	99667402	99999999

21	0	99546327	99546327	99999998
21	1	0	99546327	99999998
21	2	449244	99546327	99999998
21	3	4150	99546327	99999998
21	4	277	99546327	99999998

22	0	99492178	99492178	99999998
22	1	0	99492178	99999998
22	2	502461	99492178	99999998
22	3	4902	99492178	99999998
22	4	457	99492178	99999998

23	0	99349760	99349760	99999993
23	1	0	99349760	99999993
23	2	640644	99349760	99999993
23	3	8714	99349760	99999993
23	4	875	99349760	99999993

24	0	99277520	99277520	99999990
24	1	0	99277520	99999990
24	2	711241	99277520	99999990
24	3	10101	99277520	99999990
24	4	1128	99277520	99999990

25	0	99112199	99112199	99999999
25	1	0	99112199	99999999
25	2	870166	99112199	99999999
25	3	15808	99112199	99999999
25	4	1792	99112199	99999999
25	5	34	99112199	99999999

26	0	99021751	99021751	99999999
26	1	0	99021751	99999999
26	2	957867	99021751	99999999
26	3	17935	99021751	99999999
26	4	2405	99021751	99999999
26	5	41	99021751	99999999

27	0	98833237	98833237	99999999
27	1	0	98833237	99999999
27	2	1136939	98833237	99999999
27	3	26248	98833237	99999999
27	4	3497	98833237	99999999
27	5	78	98833237	99999999

28	0	98727386	98727386	99999997
28	1	0	98727386	99999997
28	2	1238547	98727386	99999997
28	3	29559	98727386	99999997
28	4	4408	98727386	99999997
28	5	97	98727386	99999997

29	0	98517298	98517298	99999999
29	1	0	98517298	99999999
29	2	1435470	98517298	99999999
29	3	40693	98517298	99999999
29	4	6325	98517298	99999999
29	5	198	98517298	99999999
29	6	15	98517298	99999999

30	0	98394346	98394346	99999991
30	1	0	98394346	99999991
30	2	1552068	98394346	99999991
30	3	45692	98394346	99999991
30	4	7592	98394346	99999991
30	5	293	98394346	99999991

31	0	98162389	98162389	99999999
31	1	0	98162389	99999999
31	2	1767149	98162389	99999999
31	3	59854	98162389	99999999
31	4	10211	98162389	99999999
31	5	380	98162389	99999999
31	6	16	98162389	99999999

32	0	98018845	98018845	99999972
32	1	0	98018845	99999972
32	2	1901728	98018845	99999972
32	3	66775	98018845	99999972
32	4	12114	98018845	99999972
32	5	510	98018845	99999972

33	0	97766439	97766439	99999997
33	1	0	97766439	99999997
33	2	2132485	97766439	99999997
33	3	84590	97766439	99999997
33	4	15708	97766439	99999997
33	5	717	97766439	99999997
33	6	58	97766439	99999997

34	0	97611505	97611505	99999995
34	1	0	97611505	99999995
34	2	2275434	97611505	99999995
34	3	93630	97611505	99999995
34	4	18465	97611505	99999995
34	5	892	97611505	99999995
34	6	69	97611505	99999995

35	0	97341389	97341389	99999996
35	1	0	97341389	99999996
35	2	2519536	97341389	99999996
35	3	114506	97341389	99999996
35	4	23239	97341389	99999996
35	5	1235	97341389	99999996
35	6	91	97341389	99999996

36	0	97165245	97165245	99999992
36	1	0	97165245	99999992
36	2	2679385	97165245	99999992
36	3	126770	97165245	99999992
36	4	26860	97165245	99999992
36	5	1595	97165245	99999992
36	6	137	97165245	99999992

37	0	96879712	96879712	99999992
37	1	0	96879712	99999992
37	2	2933004	96879712	99999992
37	3	151975	96879712	99999992
37	4	33110	96879712	99999992
37	5	2019	96879712	99999992
37	6	172	96879712	99999992

38	0	96684687	96684687	99999988
38	1	0	96684687	99999988
38	2	3109042	96684687	99999988
38	3	165593	96684687	99999988
38	4	37961	96684687	99999988
38	5	2484	96684687	99999988
38	6	221	96684687	99999988

39	0	96377796	96377796	99999981
39	1	0	96377796	99999981
39	2	3377559	96377796	99999981
39	3	195381	96377796	99999981
39	4	45721	96377796	99999981
39	5	3225	96377796	99999981
39	6	299	96377796	99999981

