n	avg	p25	p75
1	-nan	0.5	0.5
2	-nan	0.5	0.5
3	-nan	0.5	0.5
4	-nan	0.5	0.5
5	-nan	0.5	0.5
6	-nan	0.5	0.5
7	-nan	0.5	0.5
8	-nan	0.5	0.5
9	-nan	0.5	0.5
10	-nan	0.5	0.5
11	0	0	0
12	0	0	0
13	0	0	0
14	0	0	0
15	0	0	0
16	0.00103105	0	0
17	0.00172654	0	0
18	0.00196721	0	0
19	0.0029485	0	0
20	0.00332468	0	0
21	0.00453469	0	0
22	0.00507462	0	0
23	0.00649615	0	0
24	0.00721644	0	0
25	0.00886557	0	0
26	0.00980086	0	0
27	0.0116429	0	0
28	0.012694	0	0
29	0.0148721	0	0
30	0.0161125	0	0
31	0.0184471	0	0
32	0.0198986	0	0
33	0.0224456	0	0
34	0.0240179	0	0
35	0.0267491	0	0
36	0.0285402	0	0
37	0.031434	0	0
38	0.0334219	0	0
39	0.03654	0	0
