size	value	prob









11	0	1

12	0	1

13	0	1

14	0	1

15	0	1

16	0	0.998969
16	1	1

17	0	0.998273
17	1	1

18	0	0.998033
18	1	1

19	0	0.997051
19	1	1

20	0	0.996675
20	1	1

21	0	0.995465
21	1	1

22	0	0.994925
22	1	1

23	0	0.993504
23	1	1

24	0	0.992784
24	1	1

25	0	0.991134
25	1	1

26	0	0.990218
26	1	0.999982
26	2	1

27	0	0.988357
27	1	1

28	0	0.987306
28	1	1

29	0	0.985173
29	1	0.999955
29	2	1

30	0	0.983943
30	1	0.999944
30	2	1

31	0	0.981624
31	1	0.999929
31	2	1

32	0	0.980189
32	1	0.999913
32	2	1

33	0	0.977665
33	1	0.99989
33	2	1

34	0	0.976115
34	1	0.999867
34	2	1

35	0	0.973414
35	1	0.999837
35	2	1

36	0	0.971653
36	1	0.999807
36	2	1

37	0	0.968798
37	1	0.999768
37	2	1

38	0	0.966848
38	1	0.99973
38	2	1

39	0	0.963779
39	1	0.999681
39	2	1

