n	value	freq	max_freq	sample










11	0	99988808	99988808	99988808

12	0	99988019	99988019	99988019

13	0	99964983	99964983	99964983

14	0	99960882	99960882	99960882

15	0	99911296	99911296	99911296

16	0	99896894	99896894	99999999
16	1	103105	99896894	99999999

17	0	99827326	99827326	99999980
17	1	172654	99827326	99999980

18	0	99803249	99803249	99999970
18	1	196721	99803249	99999970

19	0	99705082	99705082	99999932
19	1	294850	99705082	99999932

20	0	99667402	99667402	99999870
20	1	332468	99667402	99999870

21	0	99546327	99546327	99999795
21	1	453468	99546327	99999795

22	0	99492178	99492178	99999638
22	1	507460	99492178	99999638

23	0	99349760	99349760	99999371
23	1	649611	99349760	99999371

24	0	99277520	99277520	99999158
24	1	721638	99277520	99999158

25	0	99112199	99112199	99998745
25	1	886546	99112199	99998745

26	0	99021751	99021751	99999999
26	1	976410	99021751	99999999
26	2	1838	99021751	99999999

27	0	98833237	98833237	99997499
27	1	1164262	98833237	99997499

28	0	98727386	98727386	99996742
28	1	1269356	98727386	99996742

29	0	98517298	98517298	99999990
29	1	1478171	98517298	99999990
29	2	4521	98517298	99999990

30	0	98394346	98394346	99999996
30	1	1600054	98394346	99999996
30	2	5596	98394346	99999996

31	0	98162389	98162389	99999995
31	1	1830499	98162389	99999995
31	2	7107	98162389	99999995

32	0	98018845	98018845	99999987
32	1	1972428	98018845	99999987
32	2	8714	98018845	99999987

33	0	97766439	97766439	99999978
33	1	2222518	97766439	99999978
33	2	11021	97766439	99999978

34	0	97611505	97611505	99999967
34	1	2375138	97611505	99999967
34	2	13324	97611505	99999967

35	0	97341389	97341389	99999970
35	1	2642254	97341389	99999970
35	2	16327	97341389	99999970

36	0	97165245	97165245	99999941
36	1	2815369	97165245	99999941
36	2	19327	97165245	99999941

37	0	96879712	96879712	99999946
37	1	3097065	96879712	99999946
37	2	23169	96879712	99999946

38	0	96684687	96684687	99999923
38	1	3288283	96684687	99999923
38	2	26953	96684687	99999923

39	0	96377796	96377796	99999893
39	1	3590194	96377796	99999893
39	2	31903	96377796	99999893

