n	avg	p25	p75
1	-nan	0.5	0.5
2	-nan	0.5	0.5
3	0	0	0
4	1.33338	1	2
5	1.50872	1	2
6	2.61525	2	3
7	3.13558	2	4
8	4.18008	3	5
9	4.97986	4	6
10	6.14261	5	7
11	7.1747	6	9
12	8.51985	7	10
13	9.77133	8	12
14	11.3154	9	13
15	12.7837	10	15
16	14.5336	12	17
17	16.2149	13	19
18	18.1697	15	21
19	20.0632	17	23
20	22.2254	19	26
21	24.3301	21	28
22	26.6987	23	31
23	29.0149	25	33
24	31.5903	27	36
25	34.1166	29	39
26	36.8995	32	42
27	39.6357	34	45
28	42.6268	37	48
29	45.5713	40	51
30	48.7674	42	55
31	51.9242	45	58
32	55.3319	48	62
33	58.6945	51	66
34	62.306	55	69
35	65.8808	58	73
36	69.7014	61	77
37	73.4826	65	82
38	77.5128	69	86
39	81.5016	72	90
