n	value	freq	max_freq	sample


3	0	33331103	33331103	33331103

4	0	15382624	46157300	92310009
4	1	30770085	46157300	92310009
4	2	46157300	46157300	92310009

5	0	8453993	49295022	80282440
5	1	22533425	49295022	80282440
5	2	49295022	49295022	80282440

6	0	2603821	36230946	99783699
6	1	9973609	36230946	99783699
6	2	36230946	36230946	99783699
6	3	30805853	36230946	99783699
6	4	14741028	36230946	99783699
6	5	5428442	36230946	99783699

7	0	1421288	30407661	97272877
7	1	5571287	30407661	97272877
7	2	22396312	30407661	97272877
7	3	30407661	30407661	97272877
7	4	23961897	30407661	97272877
7	5	13514432	30407661	97272877

